Service Type,Prefix,Number Length,From,To,Status,Quantity,Allocatee,Allocation Date,Latest Holder,Latest Transfer Date,Current EROU holder,EROU assignment date,Numbering Area
International service,13,5,130,139,Spare,10,,,,,,,
Local rate,131,6,131037,131037,Spare,1,,,,,,,
Local rate,131,6,131048,131049,Spare,2,,,,,,,
Local rate,131,6,131051,131053,Spare,3,,,,,,,
Local rate,131,6,131057,131057,Spare,1,,,,,,,
Local rate,131,6,131059,131059,Spare,1,,,,,,,
Local rate,131,6,131061,131061,Spare,1,,,,,,,
Local rate,131,6,131063,131064,Spare,2,,,,,,,
Local rate,131,6,131067,131069,Spare,3,,,,,,,
Local rate,131,6,131071,131071,Spare,1,,,,,,,
Local rate,131,6,131073,131074,Spare,2,,,,,,,
Local rate,131,6,131078,131079,Spare,2,,,,,,,
Local rate,131,6,131082,131083,Spare,2,,,,,,,
Local rate,131,6,131089,131089,Spare,1,,,,,,,
Local rate,131,6,131092,131092,Spare,1,,,,,,,
Local rate,131,6,131094,131094,Spare,1,,,,,,,
Local rate,131,6,131097,131097,Spare,1,,,,,,,
Local rate,131,6,131104,131104,Spare,1,,,,,,,
Local rate,131,6,131106,131106,Spare,1,,,,,,,
Local rate,131,6,131109,131110,Spare,2,,,,,,,
Local rate,131,6,131128,131129,Spare,2,,,,,,,
Local rate,131,6,131138,131138,Spare,1,,,,,,,
Local rate,131,6,131148,131148,Spare,1,,,,,,,
Local rate,131,6,131153,131154,Spare,2,,,,,,,
Local rate,131,6,131159,131159,Spare,1,,,,,,,
Local rate,131,6,131163,131165,Spare,3,,,,,,,
Local rate,131,6,131173,131174,Spare,2,,,,,,,
Local rate,131,6,131177,131177,Spare,1,,,,,,,
Local rate,131,6,131179,131179,Spare,1,,,,,,,
Local rate,131,6,131183,131183,Spare,1,,,,,,,
Local rate,131,6,131185,131187,Spare,3,,,,,,,
Local rate,131,6,131193,131194,Spare,2,,,,,,,
Local rate,131,6,131196,131196,Spare,1,,,,,,,
Local rate,131,6,131203,131207,Spare,5,,,,,,,
Local rate,131,6,131216,131216,Spare,1,,,,,,,
Local rate,131,6,131219,131219,Spare,1,,,,,,,
Local rate,131,6,131227,131227,Spare,1,,,,,,,
Local rate,131,6,131231,131231,Spare,1,,,,,,,
Local rate,131,6,131235,131235,Spare,1,,,,,,,
Local rate,131,6,131239,131240,Spare,2,,,,,,,
Local rate,131,6,131248,131248,Spare,1,,,,,,,
Local rate,131,6,131254,131254,Spare,1,,,,,,,
Local rate,131,6,131257,131258,Spare,2,,,,,,,
Local rate,131,6,131263,131263,Spare,1,,,,,,,
Local rate,131,6,131265,131265,Spare,1,,,,,,,
Local rate,131,6,131270,131271,Spare,2,,,,,,,
Local rate,131,6,131277,131277,Spare,1,,,,,,,
Local rate,131,6,131281,131281,Spare,1,,,,,,,
Local rate,131,6,131283,131283,Spare,1,,,,,,,
Local rate,131,6,131289,131291,Spare,3,,,,,,,
Local rate,131,6,131294,131294,Spare,1,,,,,,,
Local rate,131,6,131296,131298,Spare,3,,,,,,,
Local rate,131,6,131308,131308,Spare,1,,,,,,,
Local rate,131,6,131327,131327,Spare,1,,,,,,,
Local rate,131,6,131348,131348,Spare,1,,,,,,,
Local rate,131,6,131367,131368,Spare,2,,,,,,,
Local rate,131,6,131371,131371,Spare,1,,,,,,,
Local rate,131,6,131378,131379,Spare,2,,,,,,,
Local rate,131,6,131382,131382,Spare,1,,,,,,,
Local rate,131,6,131387,131387,Spare,1,,,,,,,
Local rate,131,6,131391,131391,Spare,1,,,,,,,
Local rate,131,6,131393,131393,Spare,1,,,,,,,
Local rate,131,6,131397,131398,Spare,2,,,,,,,
Local rate,131,6,131401,131401,Spare,1,,,,,,,
Local rate,131,6,131403,131403,Spare,1,,,,,,,
Local rate,131,6,131405,131405,Spare,1,,,,,,,
Local rate,131,6,131407,131409,Spare,3,,,,,,,
Local rate,131,6,131417,131417,Spare,1,,,,,,,
Local rate,131,6,131419,131420,Spare,2,,,,,,,
Local rate,131,6,131428,131430,Spare,3,,,,,,,
Local rate,131,6,131432,131432,Spare,1,,,,,,,
Local rate,131,6,131435,131436,Spare,2,,,,,,,
Local rate,131,6,131438,131438,Spare,1,,,,,,,
Local rate,131,6,131445,131445,Spare,1,,,,,,,
Local rate,131,6,131447,131447,Spare,1,,,,,,,
Local rate,131,6,131449,131449,Spare,1,,,,,,,
Local rate,131,6,131453,131454,Spare,2,,,,,,,
Local rate,131,6,131457,131457,Spare,1,,,,,,,
Local rate,131,6,131459,131462,Spare,4,,,,,,,
Local rate,131,6,131470,131470,Spare,1,,,,,,,
Local rate,131,6,131473,131473,Spare,1,,,,,,,
Local rate,131,6,131475,131475,Spare,1,,,,,,,
Local rate,131,6,131483,131483,Spare,1,,,,,,,
Local rate,131,6,131485,131485,Spare,1,,,,,,,
Local rate,131,6,131489,131490,Spare,2,,,,,,,
Local rate,131,6,131494,131494,Spare,1,,,,,,,
Local rate,131,6,131496,131496,Spare,1,,,,,,,
Local rate,131,6,131501,131504,Spare,4,,,,,,,
Local rate,131,6,131507,131508,Spare,2,,,,,,,
Local rate,131,6,131510,131510,Spare,1,,,,,,,
Local rate,131,6,131522,131522,Spare,1,,,,,,,
Local rate,131,6,131526,131528,Spare,3,,,,,,,
Local rate,131,6,131530,131530,Spare,1,,,,,,,
Local rate,131,6,131533,131535,Spare,3,,,,,,,
Local rate,131,6,131537,131537,Spare,1,,,,,,,
Local rate,131,6,131541,131541,Spare,1,,,,,,,
Local rate,131,6,131543,131543,Spare,1,,,,,,,
Local rate,131,6,131548,131549,Spare,2,,,,,,,
Local rate,131,6,131553,131553,Spare,1,,,,,,,
Local rate,131,6,131561,131562,Spare,2,,,,,,,
Local rate,131,6,131566,131566,Spare,1,,,,,,,
Local rate,131,6,131569,131573,Spare,5,,,,,,,
Local rate,131,6,131575,131575,Spare,1,,,,,,,
Local rate,131,6,131578,131578,Spare,1,,,,,,,
Local rate,131,6,131581,131585,Spare,5,,,,,,,
Local rate,131,6,131587,131588,Spare,2,,,,,,,
Local rate,131,6,131591,131597,Spare,7,,,,,,,
Local rate,131,6,131599,131599,Spare,1,,,,,,,
Local rate,131,6,131603,131603,Spare,1,,,,,,,
Local rate,131,6,131605,131606,Spare,2,,,,,,,
Local rate,131,6,131609,131609,Spare,1,,,,,,,
Local rate,131,6,131612,131612,Spare,1,,,,,,,
Local rate,131,6,131620,131620,Spare,1,,,,,,,
Local rate,131,6,131627,131627,Spare,1,,,,,,,
Local rate,131,6,131635,131635,Spare,1,,,,,,,
Local rate,131,6,131637,131638,Spare,2,,,,,,,
Local rate,131,6,131640,131641,Spare,2,,,,,,,
Local rate,131,6,131643,131645,Spare,3,,,,,,,
Local rate,131,6,131648,131648,Spare,1,,,,,,,
Local rate,131,6,131650,131651,Spare,2,,,,,,,
Local rate,131,6,131653,131660,Spare,8,,,,,,,
Local rate,131,6,131664,131665,Spare,2,,,,,,,
Local rate,131,6,131667,131667,Spare,1,,,,,,,
Local rate,131,6,131671,131671,Spare,1,,,,,,,
Local rate,131,6,131674,131674,Spare,1,,,,,,,
Local rate,131,6,131676,131676,Spare,1,,,,,,,
Local rate,131,6,131678,131678,Spare,1,,,,,,,
Local rate,131,6,131682,131685,Spare,4,,,,,,,
Local rate,131,6,131688,131690,Spare,3,,,,,,,
Local rate,131,6,131692,131692,Spare,1,,,,,,,
Local rate,131,6,131695,131698,Spare,4,,,,,,,
Local rate,131,6,131701,131702,Spare,2,,,,,,,
Local rate,131,6,131704,131706,Spare,3,,,,,,,
Local rate,131,6,131708,131709,Spare,2,,,,,,,
Local rate,131,6,131712,131712,Spare,1,,,,,,,
Local rate,131,6,131720,131721,Spare,2,,,,,,,
Local rate,131,6,131724,131724,Spare,1,,,,,,,
Local rate,131,6,131726,131726,Spare,1,,,,,,,
Local rate,131,6,131730,131731,Spare,2,,,,,,,
Local rate,131,6,131734,131735,Spare,2,,,,,,,
Local rate,131,6,131741,131741,Spare,1,,,,,,,
Local rate,131,6,131743,131743,Spare,1,,,,,,,
Local rate,131,6,131752,131754,Spare,3,,,,,,,
Local rate,131,6,131756,131756,Spare,1,,,,,,,
Local rate,131,6,131762,131762,Spare,1,,,,,,,
Local rate,131,6,131764,131764,Spare,1,,,,,,,
Local rate,131,6,131766,131766,Spare,1,,,,,,,
Local rate,131,6,131771,131771,Spare,1,,,,,,,
Local rate,131,6,131778,131778,Spare,1,,,,,,,
Local rate,131,6,131780,131781,Spare,2,,,,,,,
Local rate,131,6,131783,131783,Spare,1,,,,,,,
Local rate,131,6,131786,131786,Spare,1,,,,,,,
Local rate,131,6,131790,131796,Spare,7,,,,,,,
Local rate,131,6,131798,131798,Spare,1,,,,,,,
Local rate,131,6,131801,131801,Spare,1,,,,,,,
Local rate,131,6,131803,131805,Spare,3,,,,,,,
Local rate,131,6,131807,131807,Spare,1,,,,,,,
Local rate,131,6,131810,131810,Spare,1,,,,,,,
Local rate,131,6,131814,131815,Spare,2,,,,,,,
Local rate,131,6,131826,131826,Spare,1,,,,,,,
Local rate,131,6,131830,131830,Spare,1,,,,,,,
Local rate,131,6,131833,131833,Spare,1,,,,,,,
Local rate,131,6,131837,131839,Spare,3,,,,,,,
Local rate,131,6,131841,131841,Spare,1,,,,,,,
Local rate,131,6,131844,131844,Spare,1,,,,,,,
Local rate,131,6,131848,131850,Spare,3,,,,,,,
Local rate,131,6,131853,131854,Spare,2,,,,,,,
Local rate,131,6,131857,131857,Spare,1,,,,,,,
Local rate,131,6,131859,131859,Spare,1,,,,,,,
Local rate,131,6,131861,131861,Spare,1,,,,,,,
Local rate,131,6,131863,131863,Spare,1,,,,,,,
Local rate,131,6,131867,131867,Spare,1,,,,,,,
Local rate,131,6,131870,131871,Spare,2,,,,,,,
Local rate,131,6,131884,131887,Spare,4,,,,,,,
Local rate,131,6,131889,131891,Spare,3,,,,,,,
Local rate,131,6,131893,131897,Spare,5,,,,,,,
Local rate,131,6,131899,131899,Spare,1,,,,,,,
Local rate,131,6,131904,131904,Spare,1,,,,,,,
Local rate,131,6,131906,131908,Spare,3,,,,,,,
Local rate,131,6,131910,131910,Spare,1,,,,,,,
Local rate,131,6,131912,131912,Spare,1,,,,,,,
Local rate,131,6,131916,131916,Spare,1,,,,,,,
Local rate,131,6,131919,131919,Spare,1,,,,,,,
Local rate,131,6,131921,131923,Spare,3,,,,,,,
Local rate,131,6,131925,131925,Spare,1,,,,,,,
Local rate,131,6,131927,131928,Spare,2,,,,,,,
Local rate,131,6,131930,131931,Spare,2,,,,,,,
Local rate,131,6,131933,131933,Spare,1,,,,,,,
Local rate,131,6,131935,131935,Spare,1,,,,,,,
Local rate,131,6,131937,131938,Spare,2,,,,,,,
Local rate,131,6,131941,131947,Spare,7,,,,,,,
Local rate,131,6,131951,131953,Spare,3,,,,,,,
Local rate,131,6,131956,131958,Spare,3,,,,,,,
Local rate,131,6,131964,131970,Spare,7,,,,,,,
Local rate,131,6,131972,131976,Spare,5,,,,,,,
Local rate,131,6,131978,131979,Spare,2,,,,,,,
Local rate,131,6,131982,131983,Spare,2,,,,,,,
Local rate,131,6,131985,131986,Spare,2,,,,,,,
Local rate,131,6,131990,131990,Spare,1,,,,,,,
Local rate,131,6,131992,131996,Spare,5,,,,,,,
Local rate,132,6,132002,132002,Spare,1,,,,,,,
Local rate,132,6,132005,132006,Spare,2,,,,,,,
Local rate,132,6,132008,132009,Spare,2,,,,,,,
Local rate,132,6,132012,132012,Spare,1,,,,,,,
Local rate,132,6,132014,132014,Spare,1,,,,,,,
Local rate,132,6,132016,132017,Spare,2,,,,,,,
Local rate,132,6,132019,132019,Spare,1,,,,,,,
Local rate,132,6,132022,132022,Spare,1,,,,,,,
Local rate,132,6,132024,132024,Spare,1,,,,,,,
Local rate,132,6,132028,132029,Spare,2,,,,,,,
Local rate,132,6,132031,132031,Spare,1,,,,,,,
Local rate,132,6,132033,132041,Spare,9,,,,,,,
Local rate,132,6,132043,132049,Spare,7,,,,,,,
Local rate,132,6,132051,132055,Spare,5,,,,,,,
Local rate,132,6,132057,132057,Spare,1,,,,,,,
Local rate,132,6,132059,132061,Spare,3,,,,,,,
Local rate,132,6,132063,132065,Spare,3,,,,,,,
Local rate,132,6,132069,132079,Spare,11,,,,,,,
Local rate,132,6,132081,132082,Spare,2,,,,,,,
Local rate,132,6,132084,132087,Spare,4,,,,,,,
Local rate,132,6,132089,132089,Spare,1,,,,,,,
Local rate,132,6,132091,132091,Spare,1,,,,,,,
Local rate,132,6,132093,132098,Spare,6,,,,,,,
Local rate,132,6,132102,132109,Spare,8,,,,,,,
Local rate,132,6,132112,132112,Spare,1,,,,,,,
Local rate,132,6,132114,132114,Spare,1,,,,,,,
Local rate,132,6,132116,132119,Spare,4,,,,,,,
Local rate,132,6,132123,132124,Spare,2,,,,,,,
Local rate,132,6,132126,132130,Spare,5,,,,,,,
Local rate,132,6,132133,132133,Spare,1,,,,,,,
Local rate,132,6,132137,132137,Spare,1,,,,,,,
Local rate,132,6,132139,132139,Spare,1,,,,,,,
Local rate,132,6,132141,132141,Spare,1,,,,,,,
Local rate,132,6,132143,132146,Spare,4,,,,,,,
Local rate,132,6,132148,132149,Spare,2,,,,,,,
Local rate,132,6,132151,132151,Spare,1,,,,,,,
Local rate,132,6,132153,132160,Spare,8,,,,,,,
Local rate,132,6,132162,132165,Spare,4,,,,,,,
Local rate,132,6,132167,132168,Spare,2,,,,,,,
Local rate,132,6,132170,132176,Spare,7,,,,,,,
Local rate,132,6,132178,132179,Spare,2,,,,,,,
Local rate,132,6,132181,132187,Spare,7,,,,,,,
Local rate,132,6,132189,132190,Spare,2,,,,,,,
Local rate,132,6,132192,132194,Spare,3,,,,,,,
Local rate,132,6,132196,132199,Spare,4,,,,,,,
Local rate,132,6,132202,132202,Spare,1,,,,,,,
Local rate,132,6,132204,132205,Spare,2,,,,,,,
Local rate,132,6,132208,132209,Spare,2,,,,,,,
Local rate,132,6,132214,132214,Spare,1,,,,,,,
Local rate,132,6,132216,132217,Spare,2,,,,,,,
Local rate,132,6,132220,132220,Spare,1,,,,,,,
Local rate,132,6,132225,132225,Spare,1,,,,,,,
Local rate,132,6,132235,132236,Spare,2,,,,,,,
Local rate,132,6,132239,132241,Spare,3,,,,,,,
Local rate,132,6,132249,132249,Spare,1,,,,,,,
Local rate,132,6,132256,132257,Spare,2,,,,,,,
Local rate,132,6,132260,132260,Spare,1,,,,,,,
Local rate,132,6,132269,132269,Spare,1,,,,,,,
Local rate,132,6,132272,132272,Spare,1,,,,,,,
Local rate,132,6,132279,132279,Spare,1,,,,,,,
Local rate,132,6,132283,132283,Spare,1,,,,,,,
Local rate,132,6,132291,132293,Spare,3,,,,,,,
Local rate,132,6,132297,132298,Spare,2,,,,,,,
Local rate,132,6,132302,132302,Spare,1,,,,,,,
Local rate,132,6,132304,132306,Spare,3,,,,,,,
Local rate,132,6,132308,132309,Spare,2,,,,,,,
Local rate,132,6,132311,132312,Spare,2,,,,,,,
Local rate,132,6,132314,132314,Spare,1,,,,,,,
Local rate,132,6,132317,132317,Spare,1,,,,,,,
Local rate,132,6,132319,132319,Spare,1,,,,,,,
Local rate,132,6,132321,132322,Spare,2,,,,,,,
Local rate,132,6,132329,132330,Spare,2,,,,,,,
Local rate,132,6,132341,132342,Spare,2,,,,,,,
Local rate,132,6,132344,132344,Spare,1,,,,,,,
Local rate,132,6,132346,132346,Spare,1,,,,,,,
Local rate,132,6,132348,132349,Spare,2,,,,,,,
Local rate,132,6,132352,132352,Spare,1,,,,,,,
Local rate,132,6,132354,132354,Spare,1,,,,,,,
Local rate,132,6,132356,132359,Spare,4,,,,,,,
Local rate,132,6,132361,132362,Spare,2,,,,,,,
Local rate,132,6,132365,132366,Spare,2,,,,,,,
Local rate,132,6,132371,132372,Spare,2,,,,,,,
Local rate,132,6,132374,132375,Spare,2,,,,,,,
Local rate,132,6,132379,132379,Spare,1,,,,,,,
Local rate,132,6,132381,132382,Spare,2,,,,,,,
Local rate,132,6,132389,132389,Spare,1,,,,,,,
Local rate,132,6,132395,132398,Spare,4,,,,,,,
Local rate,132,6,132401,132401,Spare,1,,,,,,,
Local rate,132,6,132403,132406,Spare,4,,,,,,,
Local rate,132,6,132408,132409,Spare,2,,,,,,,
Local rate,132,6,132411,132411,Spare,1,,,,,,,
Local rate,132,6,132413,132414,Spare,2,,,,,,,
Local rate,132,6,132416,132419,Spare,4,,,,,,,
Local rate,132,6,132421,132421,Spare,1,,,,,,,
Local rate,132,6,132425,132425,Spare,1,,,,,,,
Local rate,132,6,132429,132429,Spare,1,,,,,,,
Local rate,132,6,132431,132432,Spare,2,,,,,,,
Local rate,132,6,132435,132436,Spare,2,,,,,,,
Local rate,132,6,132438,132439,Spare,2,,,,,,,
Local rate,132,6,132442,132442,Spare,1,,,,,,,
Local rate,132,6,132448,132451,Spare,4,,,,,,,
Local rate,132,6,132454,132454,Spare,1,,,,,,,
Local rate,132,6,132456,132460,Spare,5,,,,,,,
Local rate,132,6,132465,132465,Spare,1,,,,,,,
Local rate,132,6,132469,132469,Spare,1,,,,,,,
Local rate,132,6,132471,132471,Spare,1,,,,,,,
Local rate,132,6,132474,132476,Spare,3,,,,,,,
Local rate,132,6,132487,132487,Spare,1,,,,,,,
Local rate,132,6,132491,132493,Spare,3,,,,,,,
Local rate,132,6,132495,132498,Spare,4,,,,,,,
Local rate,132,6,132501,132501,Spare,1,,,,,,,
Local rate,132,6,132503,132504,Spare,2,,,,,,,
Local rate,132,6,132506,132511,Spare,6,,,,,,,
Local rate,132,6,132513,132514,Spare,2,,,,,,,
Local rate,132,6,132516,132521,Spare,6,,,,,,,
Local rate,132,6,132528,132528,Spare,1,,,,,,,
Local rate,132,6,132530,132531,Spare,2,,,,,,,
Local rate,132,6,132533,132533,Spare,1,,,,,,,
Local rate,132,6,132536,132536,Spare,1,,,,,,,
Local rate,132,6,132538,132538,Spare,1,,,,,,,
Local rate,132,6,132541,132542,Spare,2,,,,,,,
Local rate,132,6,132545,132545,Spare,1,,,,,,,
Local rate,132,6,132549,132549,Spare,1,,,,,,,
Local rate,132,6,132551,132551,Spare,1,,,,,,,
Local rate,132,6,132556,132557,Spare,2,,,,,,,
Local rate,132,6,132561,132561,Spare,1,,,,,,,
Local rate,132,6,132563,132563,Spare,1,,,,,,,
Local rate,132,6,132565,132565,Spare,1,,,,,,,
Local rate,132,6,132568,132571,Spare,4,,,,,,,
Local rate,132,6,132573,132573,Spare,1,,,,,,,
Local rate,132,6,132575,132576,Spare,2,,,,,,,
Local rate,132,6,132578,132578,Spare,1,,,,,,,
Local rate,132,6,132580,132581,Spare,2,,,,,,,
Local rate,132,6,132584,132584,Spare,1,,,,,,,
Local rate,132,6,132587,132587,Spare,1,,,,,,,
Local rate,132,6,132590,132598,Spare,9,,,,,,,
Local rate,132,6,132602,132606,Spare,5,,,,,,,
Local rate,132,6,132608,132609,Spare,2,,,,,,,
Local rate,132,6,132611,132612,Spare,2,,,,,,,
Local rate,132,6,132614,132615,Spare,2,,,,,,,
Local rate,132,6,132617,132621,Spare,5,,,,,,,
Local rate,132,6,132623,132623,Spare,1,,,,,,,
Local rate,132,6,132630,132631,Spare,2,,,,,,,
Local rate,132,6,132634,132635,Spare,2,,,,,,,
Local rate,132,6,132638,132641,Spare,4,,,,,,,
Local rate,132,6,132643,132643,Spare,1,,,,,,,
Local rate,132,6,132645,132647,Spare,3,,,,,,,
Local rate,132,6,132649,132650,Spare,2,,,,,,,
Local rate,132,6,132656,132656,Spare,1,,,,,,,
Local rate,132,6,132661,132661,Spare,1,,,,,,,
Local rate,132,6,132666,132667,Spare,2,,,,,,,
Local rate,132,6,132671,132671,Spare,1,,,,,,,
Local rate,132,6,132673,132673,Spare,1,,,,,,,
Local rate,132,6,132679,132682,Spare,4,,,,,,,
Local rate,132,6,132685,132686,Spare,2,,,,,,,
Local rate,132,6,132689,132690,Spare,2,,,,,,,
Local rate,132,6,132692,132695,Spare,4,,,,,,,
Local rate,132,6,132697,132697,Spare,1,,,,,,,
Local rate,132,6,132699,132699,Spare,1,,,,,,,
Local rate,132,6,132702,132712,Spare,11,,,,,,,
Local rate,132,6,132714,132716,Spare,3,,,,,,,
Local rate,132,6,132718,132721,Spare,4,,,,,,,
Local rate,132,6,132724,132724,Spare,1,,,,,,,
Local rate,132,6,132728,132728,Spare,1,,,,,,,
Local rate,132,6,132730,132731,Spare,2,,,,,,,
Local rate,132,6,132734,132734,Spare,1,,,,,,,
Local rate,132,6,132738,132738,Spare,1,,,,,,,
Local rate,132,6,132740,132741,Spare,2,,,,,,,
Local rate,132,6,132743,132743,Spare,1,,,,,,,
Local rate,132,6,132745,132745,Spare,1,,,,,,,
Local rate,132,6,132748,132749,Spare,2,,,,,,,
Local rate,132,6,132751,132755,Spare,5,,,,,,,
Local rate,132,6,132757,132761,Spare,5,,,,,,,
Local rate,132,6,132763,132763,Spare,1,,,,,,,
Local rate,132,6,132770,132772,Spare,3,,,,,,,
Local rate,132,6,132776,132776,Spare,1,,,,,,,
Local rate,132,6,132778,132778,Spare,1,,,,,,,
Local rate,132,6,132780,132783,Spare,4,,,,,,,
Local rate,132,6,132785,132785,Spare,1,,,,,,,
Local rate,132,6,132790,132793,Spare,4,,,,,,,
Local rate,132,6,132795,132801,Spare,7,,,,,,,
Local rate,132,6,132803,132807,Spare,5,,,,,,,
Local rate,132,6,132809,132810,Spare,2,,,,,,,
Local rate,132,6,132813,132817,Spare,5,,,,,,,
Local rate,132,6,132819,132821,Spare,3,,,,,,,
Local rate,132,6,132830,132831,Spare,2,,,,,,,
Local rate,132,6,132838,132841,Spare,4,,,,,,,
Local rate,132,6,132844,132844,Spare,1,,,,,,,
Local rate,132,6,132851,132851,Spare,1,,,,,,,
Local rate,132,6,132853,132854,Spare,2,,,,,,,
Local rate,132,6,132856,132859,Spare,4,,,,,,,
Local rate,132,6,132871,132871,Spare,1,,,,,,,
Local rate,132,6,132875,132876,Spare,2,,,,,,,
Local rate,132,6,132880,132883,Spare,4,,,,,,,
Local rate,132,6,132885,132885,Spare,1,,,,,,,
Local rate,132,6,132887,132887,Spare,1,,,,,,,
Local rate,132,6,132889,132895,Spare,7,,,,,,,
Local rate,132,6,132897,132898,Spare,2,,,,,,,
Local rate,132,6,132901,132908,Spare,8,,,,,,,
Local rate,132,6,132910,132916,Spare,7,,,,,,,
Local rate,132,6,132918,132923,Spare,6,,,,,,,
Local rate,132,6,132929,132929,Spare,1,,,,,,,
Local rate,132,6,132931,132935,Spare,5,,,,,,,
Local rate,132,6,132937,132938,Spare,2,,,,,,,
Local rate,132,6,132940,132941,Spare,2,,,,,,,
Local rate,132,6,132943,132949,Spare,7,,,,,,,
Local rate,132,6,132951,132954,Spare,4,,,,,,,
Local rate,132,6,132956,132958,Spare,3,,,,,,,
Local rate,132,6,132960,132967,Spare,8,,,,,,,
Local rate,132,6,132969,132972,Spare,4,,,,,,,
Local rate,132,6,132974,132975,Spare,2,,,,,,,
Local rate,132,6,132978,132978,Spare,1,,,,,,,
Local rate,132,6,132980,132986,Spare,7,,,,,,,
Local rate,132,6,132988,132993,Spare,6,,,,,,,
Local rate,132,6,132995,132998,Spare,4,,,,,,,
Local rate,133,6,133001,133001,Spare,1,,,,,,,
Local rate,133,6,133003,133003,Spare,1,,,,,,,
Local rate,133,6,133005,133005,Spare,1,,,,,,,
Local rate,133,6,133009,133009,Spare,1,,,,,,,
Local rate,133,6,133011,133011,Spare,1,,,,,,,
Local rate,133,6,133014,133019,Spare,6,,,,,,,
Local rate,133,6,133022,133023,Spare,2,,,,,,,
Local rate,133,6,133025,133025,Spare,1,,,,,,,
Local rate,133,6,133027,133029,Spare,3,,,,,,,
Local rate,133,6,133031,133031,Spare,1,,,,,,,
Local rate,133,6,133035,133036,Spare,2,,,,,,,
Local rate,133,6,133040,133049,Spare,10,,,,,,,
Local rate,133,6,133051,133054,Spare,4,,,,,,,
Local rate,133,6,133057,133059,Spare,3,,,,,,,
Local rate,133,6,133063,133065,Spare,3,,,,,,,
Local rate,133,6,133067,133072,Spare,6,,,,,,,
Local rate,133,6,133074,133079,Spare,6,,,,,,,
Local rate,133,6,133081,133085,Spare,5,,,,,,,
Local rate,133,6,133087,133089,Spare,3,,,,,,,
Local rate,133,6,133092,133094,Spare,3,,,,,,,
Local rate,133,6,133097,133099,Spare,3,,,,,,,
Local rate,133,6,133101,133109,Spare,9,,,,,,,
Local rate,133,6,133112,133120,Spare,9,,,,,,,
Local rate,133,6,133124,133128,Spare,5,,,,,,,
Local rate,133,6,133131,133131,Spare,1,,,,,,,
Local rate,133,6,133134,133134,Spare,1,,,,,,,
Local rate,133,6,133138,133139,Spare,2,,,,,,,
Local rate,133,6,133142,133143,Spare,2,,,,,,,
Local rate,133,6,133145,133147,Spare,3,,,,,,,
Local rate,133,6,133149,133150,Spare,2,,,,,,,
Local rate,133,6,133152,133154,Spare,3,,,,,,,
Local rate,133,6,133157,133159,Spare,3,,,,,,,
Local rate,133,6,133162,133165,Spare,4,,,,,,,
Local rate,133,6,133167,133172,Spare,6,,,,,,,
Local rate,133,6,133175,133176,Spare,2,,,,,,,
Local rate,133,6,133178,133187,Spare,10,,,,,,,
Local rate,133,6,133189,133193,Spare,5,,,,,,,
Local rate,133,6,133195,133198,Spare,4,,,,,,,
Local rate,133,6,133201,133219,Spare,19,,,,,,,
Local rate,133,6,133221,133221,Spare,1,,,,,,,
Local rate,133,6,133223,133223,Spare,1,,,,,,,
Local rate,133,6,133228,133228,Spare,1,,,,,,,
Local rate,133,6,133230,133231,Spare,2,,,,,,,
Local rate,133,6,133235,133236,Spare,2,,,,,,,
Local rate,133,6,133239,133239,Spare,1,,,,,,,
Local rate,133,6,133241,133241,Spare,1,,,,,,,
Local rate,133,6,133244,133245,Spare,2,,,,,,,
Local rate,133,6,133249,133252,Spare,4,,,,,,,
Local rate,133,6,133255,133256,Spare,2,,,,,,,
Local rate,133,6,133260,133262,Spare,3,,,,,,,
Local rate,133,6,133268,133268,Spare,1,,,,,,,
Local rate,133,6,133270,133271,Spare,2,,,,,,,
Local rate,133,6,133273,133275,Spare,3,,,,,,,
Local rate,133,6,133280,133281,Spare,2,,,,,,,
Local rate,133,6,133283,133283,Spare,1,,,,,,,
Local rate,133,6,133288,133292,Spare,5,,,,,,,
Local rate,133,6,133294,133297,Spare,4,,,,,,,
Local rate,133,6,133302,133302,Spare,1,,,,,,,
Local rate,133,6,133305,133309,Spare,5,,,,,,,
Local rate,133,6,133312,133312,Spare,1,,,,,,,
Local rate,133,6,133314,133319,Spare,6,,,,,,,
Local rate,133,6,133323,133323,Spare,1,,,,,,,
Local rate,133,6,133329,133329,Spare,1,,,,,,,
Local rate,133,6,133332,133332,Spare,1,,,,,,,
Local rate,133,6,133334,133334,Spare,1,,,,,,,
Local rate,133,6,133341,133341,Spare,1,,,,,,,
Local rate,133,6,133346,133346,Spare,1,,,,,,,
Local rate,133,6,133351,133352,Spare,2,,,,,,,
Local rate,133,6,133359,133361,Spare,3,,,,,,,
Local rate,133,6,133364,133364,Spare,1,,,,,,,
Local rate,133,6,133366,133367,Spare,2,,,,,,,
Local rate,133,6,133371,133373,Spare,3,,,,,,,
Local rate,133,6,133375,133375,Spare,1,,,,,,,
Local rate,133,6,133379,133379,Spare,1,,,,,,,
Local rate,133,6,133381,133381,Spare,1,,,,,,,
Local rate,133,6,133385,133385,Spare,1,,,,,,,
Local rate,133,6,133387,133387,Spare,1,,,,,,,
Local rate,133,6,133391,133391,Spare,1,,,,,,,
Local rate,133,6,133395,133395,Spare,1,,,,,,,
Local rate,133,6,133397,133397,Spare,1,,,,,,,
Local rate,133,6,133400,133409,Spare,10,,,,,,,
Local rate,133,6,133411,133419,Spare,9,,,,,,,
